SOURCE_CATEGORY,SOURCE_PRODUCT_IDS,LOOK_LABEL,COMPLEMENT_CATEGORY,COMPLEMENT_PRODUCT_IDS,COMPLEMENT_LABEL,PRIORITY
jacket,"94474,97602,300460184,300441355,300399588,300410966,300427202,300399418,300678847,300441142,103335,100191,102284,103410,300399588","Complete the Look",pants,"300413144,300399865,300399834,300402727,300427236,100124,100744,100746","Add Trousers / Pants",1
jacket,"94474,97602,300460184,300441355,300399588,300410966,300427202,300399418,300678847,300441142,103335,100191,102284,103410,300399588","Complete the Look",bag,"300608126,300466076,300613859,300452191,100402","Add a Bag",2
jacket,"94474,97602,300460184,300441355,300399588,300410966,300427202,300399418,300678847,300441142,103335,100191,102284,103410,300399588","Complete the Look",sunglasses,"30404,300044617,300044624,300046587,300047513","Add Sunglasses",3
jacket,"94474,97602,300460184,300441355,300399588,300410966,300427202,300399418,300678847,300441142,103335,100191,102284,103410,300399588","Complete the Look",cap,"300051511,300564391,300466677,103151,300415712","Add a Cap / Beanie",4
jacket,"94474,97602,300460184,300441355,300399588,300410966,300427202,300399418,300678847,300441142,103335,100191,102284,103410,300399588","Complete the Look",shoe,"300026672","Add Shoes",5
tshirt,"300147490,300067366,300046036,300052678,300464995,300589206,300613249,300737268,103088,104176","Complete the Look",sunglasses,"30404,300044617,300044624,300046587,300044623","Add Sunglasses",1
tshirt,"300147490,300067366,300046036,300052678,300464995,300589206,300613249,300737268,103088,104176","Complete the Look",cap,"300051511,300564391,300466677,300476951,300415712,300649655","Add a Cap",2
tshirt,"300147490,300067366,300046036,300052678,300464995,300589206,300613249,300737268,103088,104176","Complete the Look",pants,"300413144,300399865,300399834,300402727,300427236","Add Pants",3
tshirt,"300147490,300067366,300046036,300052678,300464995,300589206,300613249,300737268,103088,104176","Complete the Look",bag,"300608126,300466076,300452191","Add a Bag / Backpack",4
tshirt,"300147490,300067366,300046036,300052678,300464995,300589206,300613249,300737268,103088,104176","Complete the Look",shoe,"300026672","Add Shoes",5
dress,"300610923,300613799,300389093,300389772,300389279","Complete the Look",bag,"300613859,300613861,300617559,300452191","Add a Handbag",1
dress,"300610923,300613799,300389093,300389772,300389279","Complete the Look",sunglasses,"30404,300044617,300044624,300046587,300047513","Add Sunglasses",2
dress,"300610923,300613799,300389093,300389772,300389279","Complete the Look",shoe,"300026672","Add Shoes / Heels",3
dress,"300610923,300613799,300389093,300389772,300389279","Complete the Look",cap,"300051511,300466677,300476951","Add a Hat",4
pants,"300413144,300399865,300428254,300399834,300402727,300427236,300398341,300412843,100124,100744,100746","Complete the Look",jacket,"97602,94474,300460184,300441355,103335,300678847","Add a Jacket",1
pants,"300413144,300399865,300428254,300399834,300402727,300427236,300398341,300412843,100124,100744,100746","Complete the Look",bag,"300608126,300466076,300452191,100402","Add a Bag",2
pants,"300413144,300399865,300428254,300399834,300402727,300427236,300398341,300412843,100124,100744,100746","Complete the Look",shoe,"300026672","Add Shoes",3
pants,"300413144,300399865,300428254,300399834,300402727,300427236,300398341,300412843,100124,100744,100746","Complete the Look",sunglasses,"30404,300044617,300046587","Add Sunglasses",4
cap,"300051511,300564391,300466677,300476951,300415712,300395984,300476944,300649655,103151,300614711,100988","Complete the Look",sunglasses,"30404,300044617,300044624,300046587,300047513","Add Sunglasses",1
cap,"300051511,300564391,300466677,300476951,300415712,300395984,300476944,300649655,103151,300614711,100988","Complete the Look",jacket,"97602,94474,300460184,300441355,300678847","Pair with a Jacket",2
cap,"300051511,300564391,300466677,300476951,300415712,300395984,300476944,300649655,103151,300614711,100988","Complete the Look",bag,"300608126,300466076,300452191","Add a Backpack",3
bag,"300613859,300613861,300617559,300452191,300608126,300466076,300618505,300618507,100402","Complete the Look",sunglasses,"30404,300044617,300046587,300044623","Add Sunglasses",1
bag,"300613859,300613861,300617559,300452191,300608126,300466076,300618505,300618507,100402","Complete the Look",jacket,"97602,94474,300460184,300678847","Pair with a Jacket",2
bag,"300613859,300613861,300617559,300452191,300608126,300466076,300618505,300618507,100402","Complete the Look",cap,"300051511,300564391,300466677,103151","Add a Cap / Beanie",3
sunglasses,"30404,300044617,300044624,300046587,300044623,300047513,300046592,300015407","Complete the Look",jacket,"97602,94474,300460184,300441355,300678847","Pair with a Jacket",1
sunglasses,"30404,300044617,300044624,300046587,300044623,300047513,300046592,300015407","Complete the Look",cap,"300051511,300564391,300466677,300415712,300649655","Add a Cap",2
sunglasses,"30404,300044617,300044624,300046587,300044623,300047513,300046592,300015407","Complete the Look",bag,"300608126,300466076,300452191","Add a Bag",3
shoe,"300026672","Complete the Look",pants,"300413144,300399865,300399834,300402727","Add Pants",1
shoe,"300026672","Complete the Look",jacket,"97602,94474,300460184,300441355","Pair with a Jacket",2
shoe,"300026672","Complete the Look",cap,"300051511,300564391,300466677,300649655","Add a Cap",3
shoe,"300026672","Complete the Look",bag,"300608126,300466076,300452191","Add a Bag / Backpack",4
