PRODUCT_ID,PRODUCT_NAME,BRAND,SUMMARY,PRICE,CATEGORY_IDS,IMAGE_URL
200001,Premium Vanilla Ice Cream,Häagen-Dazs,Rich and creamy vanilla ice cream made with real Madagascar vanilla beans.,4.99,300101,/static/images/200001.jpg
200002,Chocolate Ice Cream Pints,Ben & Jerry's,Decadent chocolate ice cream in a convenient pint-sized container.,5.49,300101,/static/images/200002.jpg
200003,Dairy-Free Almond Milk Ice Cream,So Delicious,Smooth and creamy dairy-free ice cream made with almond milk. Ideal for lactose-intolerant.,6.99,300101,/static/images/200003.jpg
200004,Strawberry Ice Pops,Popsicle,Refreshing strawberry-flavored ice pops made with real fruit puree.,3.99,300101,/static/images/200004.jpg
200005,Ice Cream Sandwiches,Nestlé,Classic vanilla ice cream sandwiched between two chocolate wafers.,4.49,300101,/static/images/200005.jpg
200006,Mango Sorbet,Talenti,Tangy and sweet mango sorbet with no artificial flavors or colors.,5.99,300101,/static/images/200006.jpg
200007,Frozen Yogurt Vanilla,Yoplait,Low-fat vanilla frozen yogurt with live and active cultures.,4.79,300101,/static/images/200007.jpg
200008,Party Size Cookie Dough Ice Cream,Ben & Jerry's,A family-sized tub of cookie dough ice cream with chunks of real cookie dough.,8.99,300101,/static/images/200008.jpg
200009,Waffle Cones & Toppings Kit,Joy,"Pack of 6 waffle cones with chocolate syrup, sprinkles, and crushed nuts.",6.49,300101,/static/images/200009.jpg
400001,Family-Size Lasagna,Stouffer's,"A hearty multi-serve lasagna with layers of pasta, cheese, and meat sauce.",9.99,300201,/static/images/400001.jpg
400002,Chicken Alfredo Single-Serve,Lean Cuisine,Creamy chicken alfredo in a single-serve microwaveable tray.,4.99,300202,/static/images/400002.jpg
400003,Beef & Vegetable Skillet Meal,Banquet,Pre-cooked beef and vegetables for a quick skillet meal.,7.99,300203,/static/images/400003.jpg
400004,Chicken Tikka Masala,Deep Indian Kitchen,"Authentic Indian-style chicken tikka masala, ready to heat and serve.",8.49,300204,/static/images/400004.jpg
400005,Chicken Pot Pie,Marie Callender's,Flaky crust filled with creamy chicken and vegetable filling.,5.99,300205,/static/images/400005.jpg
400006,Grilled Chicken Healthy Living Meal,Amy's,"Low-calorie meal with grilled chicken, quinoa, and steamed vegetables.",6.99,300206,/static/images/400006.jpg
400007,Chicken & Cheese Taquitos,El Monterey,Crispy taquitos filled with seasoned chicken and cheese.,3.99,300207,/static/images/400007.jpg
400008,Chicken & Cheese Pocket Sandwich,Hot Pockets,Toastable pocket sandwich with chicken and cheese filling.,4.49,300208,/static/images/400008.jpg
400009,Chicken Nuggets Kids Meal,Tyson,Kid-friendly meal with breaded chicken nuggets and fries.,2.99,300209,/static/images/400009.jpg
500001,Single Serve Pizza,Red Baron,"A single-serve pizza with pepperoni and cheese, perfect for one person.",2.99,333300,/static/images/500001.jpg
500002,Pizza Snacks,Totino's,Bite-sized pizza snacks with pepperoni and cheese filling.,4.49,333300,/static/images/500002.jpg
500003,Pepperoni Pizza,DiGiorno,Classic pepperoni pizza with a crispy crust and melted mozzarella cheese.,7.99,333300,/static/images/500003.jpg
500004,Meat Pizza,Tombstone,"Loaded with sausage, pepperoni, bacon, and ham on a thick crust.",8.99,333300,/static/images/500004.jpg
500005,Supreme Pizza,Jack's,"Topped with pepperoni, sausage, mushrooms, onions, and green peppers.",9.99,333300,/static/images/500005.jpg
500006,Cheese Pizza,Screamin' Sicilian,"A four-cheese blend pizza with a crispy, foldable crust.",6.99,333300,/static/images/500006.jpg
500007,Veggie Pizza,Amy's,"Made with organic vegetables, including bell peppers, onions, and olives.",8.49,333300,/static/images/500007.jpg
500101,Potato Chips Classic,Lay's,"Thinly sliced and lightly salted for a crisp, traditional taste.",2.99,400101,/static/images/500101.jpg
500102,Flavored Tortilla Chips Nacho Cheese,Doritos,Bold and zesty nacho cheese seasoning on crispy tortilla chips.,3.49,400101,/static/images/500102.jpg
500103,Tortilla Chips Restaurant Style,Tostitos,"Thick-cut tortilla chips with a sturdy crunch, perfect for dipping.",2.79,400101,/static/images/500103.jpg
500104,Kettle Chips Sea Salt,Kettle Brand,"Hand-cooked in small batches for a thick, crunchy texture with sea salt.",3.99,400101,/static/images/500104.jpg
500105,Corn Chips Original,Fritos,Light and airy corn chips with a classic salty flavor.,2.49,400101,/static/images/500105.jpg
500106,Baked Veggie Straws,Good Health,"Crispy baked straws made from real vegetables, lower in fat.",3.29,400101,/static/images/500106.jpg
