PROMO_ID,PROMO_PRODUCT_ID,PROMO_PRODUCT_NAME,PROMO_TITLE,PROMO_DESCRIPTION,PROMO_DISCOUNT_PERCENT,PROMO_START_DATE,PROMO_END_DATE
P-2026-001,0031-1,Trench Coat,Spring Fashion Sale 2026,Elegant trench coat with 25% off - Spring Special,25,2026-03-15,2026-09-17
P-2026-002,0032-1,Leather Jacket,Premium Leather Special,Genuine leather jacket - Save 30% now,30,2026-03-15,2026-09-17
P-2026-003,7001-1,Black Newyork Cap,Spring Cap Collection,Stylish caps with 20% discount for spring,20,2026-03-15,2026-09-17
P-2026-004,117452,X8CH 154.5 11/12,End of Season Clearance,Professional snowboard gear - Final 35% off,35,2026-03-15,2026-09-17
P-2026-005,97199,Monkeywrench 157 11/12,Snowboard Blowout Sale,Premium snowboard at special price - 40% off,40,2026-03-15,2026-09-17
P-2026-006,103088,New Standard SS,T-Shirt Spring Sale,Comfortable tees perfect for spring - 20% discount,20,2026-03-15,2026-09-17
P-2026-007,108803,Multilogo Good Looking SS Women,Women's Spring Fashion,Trendy women's tees - 25% off,25,2026-03-15,2026-09-17
P-2026-008,117896,Acid SS,Spring Clearance,Cool acid wash tees - Save 30%,30,2026-03-15,2026-09-17
P-2026-009,118313,Star SS,Basic Tee Mega Sale,Classic star design tees - 18% off,18,2026-03-15,2026-09-17
P-2026-010,122059,Eat Sleep Dream SS F,Lifestyle Spring Collection,Express yourself this spring - 22% discount,22,2026-03-15,2026-09-17
P-2026-011,104176,Nightlife T-Shirt Women,Spring Night Out Special,Party-ready tees for women - 20% off,20,2026-03-15,2026-09-17
P-2026-012,103335,Kelly Jacket Women,Women's Spring Jacket Sale,Stylish women's jackets for spring - 28% off,28,2026-03-15,2026-09-17
P-2026-013,103410,Last Mission Jacket,Adventure Gear Spring Sale,Ready for spring adventures - 32% discount,32,2026-03-15,2026-09-17
P-2026-014,100191,Beacon Jacket,Outdoor Spring Collection,Premium outdoor jacket - 30% off,30,2026-03-15,2026-09-17
P-2026-015,102284,Tracker Insulated Jacket Youth,Kids Spring Clearance,Last chance winter jackets - 35% off,35,2026-03-15,2026-09-17
P-2026-016,107728,Score Mini Stripe Jacket youth,Youth Spring Fashion,Trendy youth jackets for spring - 25% discount,25,2026-03-15,2026-09-17
P-2026-017,300026673,Sneakers Vans Old Skool black/white 10.5,Footwear Spring Sale,Classic Vans sneakers - 18% off,18,2026-03-15,2026-09-17
P-2026-018,300026674,Sneakers Vans Old Skool black/white 11.0,Shoe Spring Clearance,Popular sizes available - 18% off,18,2026-03-15,2026-09-17
P-2026-019,300026675,Sneakers Vans Old Skool black/white 12.0,Athletic Footwear Spring,Comfortable sneakers - Save 18%,18,2026-03-15,2026-09-17
P-2026-020,300026676,Sneakers Vans Old Skool black/white 8.5,Spring Shoe Collection,Classic black and white - 18% off,18,2026-03-15,2026-09-17
P-2026-021,300026677,Sneakers Vans Old Skool black/white 9.0,Sneaker Spring Special,Limited time spring offer - 18% discount,18,2026-03-15,2026-09-17
P-2026-022,118514,Avionics Shades Black,Spring Sunglasses Sale,Protect your eyes with style - 35% off,35,2026-03-15,2026-09-17
P-2026-023,115117,Vintage 86 blue havana striped,Vintage Spring Collection,Retro sunglasses for spring - 28% discount,28,2026-03-15,2026-09-17
P-2026-024,115118,Vintage 88 black havana,Classic Spring Eyewear,Timeless spring style - Save 28%,28,2026-03-15,2026-09-17
P-2026-025,115195,The Dial Women,Women's Spring Accessories,Elegant watches for spring - 22% off,22,2026-03-15,2026-09-17
P-2026-026,115202,The Player,Spring Watch Collection,Premium timepieces - 20% discount,20,2026-03-15,2026-09-17
P-2026-027,111114,Biarritz Women,Ladies Spring Watch Sale,Stylish women's watches - 24% off,24,2026-03-15,2026-09-17
P-2026-028,74825,The Sentry,Men's Spring Watch Special,Classic design watches - 20% discount,20,2026-03-15,2026-09-17
P-2026-029,94063,The 51-30,Spring Sports Watch Sale,Athletic timepieces - Save 25%,25,2026-03-15,2026-09-17
P-2026-030,103151,Transplant Flexfit Cap,Spring Cap Bonanza,Comfortable fitted caps - 20% off,20,2026-03-15,2026-09-17
P-2026-031,300415739,Premium Running Shoes,Athletic Spring Sale,High-performance running shoes - 30% off,30,2026-03-15,2026-09-17
P-2026-032,300441142,Designer Handbag,Spring Fashion Accessories,Luxury handbag collection - 25% off,25,2026-03-15,2026-09-17
P-2026-033,29532,Classic Denim Jeans,Spring Denim Sale,Premium quality jeans - 20% discount,20,2026-03-15,2026-09-17
P-2026-034,99146,Sports Performance Shorts,Spring Athletic Wear,Lightweight performance shorts - 18% off,18,2026-03-15,2026-09-17
P-2026-035,105234,Casual Beach Shirt,Summer Preview Sale,Get ready for summer - 22% off,22,2026-03-15,2026-09-17
