PRODUCT_ID,RELATED_PRODUCT_ID,RELATION_TYPE,DISPLAY_ORDER
200001,200009,crosssell,1
200001,500022,crosssell,2
200001,200006,similar,3
200001,200007,similar,4
200001,200008,upsell,5
200002,200009,crosssell,1
200002,500021,crosssell,2
200002,200001,similar,3
200002,200008,upsell,4
200003,200006,similar,1
200003,200004,similar,2
200003,200009,crosssell,3
200004,200003,similar,1
200004,200005,similar,2
200004,200009,crosssell,3
200005,500022,crosssell,1
200005,600001,crosssell,2
200005,200001,similar,3
200006,200001,similar,1
200006,200003,similar,2
200006,200009,crosssell,3
200007,730008,crosssell,1
200007,600001,crosssell,2
200007,200001,similar,3
200008,200009,crosssell,1
200008,610001,crosssell,2
200008,200002,similar,3
200009,200001,crosssell,1
200009,200002,crosssell,2
200009,200006,crosssell,3
400001,610008,crosssell,1
400001,710001,crosssell,2
400001,400002,similar,3
400002,610003,crosssell,1
400002,400001,similar,2
400002,400006,upsell,3
400003,610008,crosssell,1
400003,710001,crosssell,2
400003,400001,similar,3
400004,710001,crosssell,1
400004,620002,crosssell,2
400004,400006,similar,3
400005,610006,crosssell,1
400005,400001,similar,2
400005,400009,similar,3
400006,620002,crosssell,1
400006,700003,crosssell,2
400006,400002,similar,3
400007,500107,crosssell,1
400007,610003,crosssell,2
400007,400008,similar,3
400008,610002,crosssell,1
400008,500101,crosssell,2
400008,400007,similar,3
400009,610004,crosssell,1
400009,500101,crosssell,2
400009,400008,similar,3
500001,500003,upsell,1
500001,610002,crosssell,2
500001,500002,similar,3
500002,610001,crosssell,1
500002,500107,crosssell,2
500002,500001,similar,3
500003,610001,crosssell,1
500003,500109,crosssell,2
500003,500004,similar,3
500004,610001,crosssell,1
500004,500101,crosssell,2
500004,500005,similar,3
500005,610008,crosssell,1
500005,500109,crosssell,2
500005,500003,similar,3
500006,610006,crosssell,1
500006,500012,crosssell,2
500006,500003,similar,3
500007,620003,crosssell,1
500007,500106,crosssell,2
500007,500006,similar,3
500101,500107,crosssell,1
500101,610003,crosssell,2
500101,500110,similar,3
500101,500109,similar,4
500102,500107,crosssell,1
500102,610004,crosssell,2
500102,500101,similar,3
500102,500105,similar,4
500103,500107,crosssell,1
500103,610005,crosssell,2
500103,500102,similar,3
500104,620004,crosssell,1
500104,500101,similar,2
500104,500109,similar,3
500105,500107,crosssell,1
500105,610006,crosssell,2
500105,500101,similar,3
500106,620006,crosssell,1
500106,500104,similar,2
500106,500103,similar,3
500107,500101,crosssell,1
500107,500102,crosssell,2
500107,500103,crosssell,3
500108,500107,crosssell,1
500108,610003,crosssell,2
500108,500101,similar,3
500109,610001,crosssell,1
500109,500107,crosssell,2
500109,500101,similar,3
500109,500110,similar,4
500110,500107,crosssell,1
500110,610003,crosssell,2
500110,500101,similar,3
500110,500109,similar,4
500011,600015,crosssell,1
500011,600018,crosssell,2
500011,500012,similar,3
500012,600018,crosssell,1
500012,600016,crosssell,2
500012,500013,similar,3
500013,600015,crosssell,1
500013,600017,crosssell,2
500013,500012,similar,3
500014,600017,crosssell,1
500014,500012,similar,2
500015,600018,crosssell,1
500015,500012,similar,2
500016,620006,crosssell,1
500016,500017,similar,2
500017,600001,crosssell,1
500017,500012,similar,2
500018,620003,crosssell,1
500018,500012,similar,2
500019,600015,crosssell,1
500019,500013,similar,2
500020,620006,crosssell,1
500020,500016,similar,2
500021,600001,crosssell,1
500021,600002,crosssell,2
500021,500022,similar,3
500022,600008,crosssell,1
500022,600001,crosssell,2
500022,500021,similar,3
500022,500023,similar,4
500023,600001,crosssell,1
500023,500022,similar,2
500024,630009,crosssell,1
500024,630007,crosssell,2
500024,500025,similar,3
500025,630007,crosssell,1
500025,500024,similar,2
500026,600001,crosssell,1
500026,730008,crosssell,2
500026,500021,similar,3
500027,600001,crosssell,1
500027,500022,similar,2
500028,600001,crosssell,1
500028,500021,similar,2
500029,630002,crosssell,1
500029,500024,similar,2
500030,620006,crosssell,1
500030,500020,similar,2
710001,600016,crosssell,1
710001,600018,crosssell,2
710001,710002,similar,3
710002,600018,crosssell,1
710002,600016,crosssell,2
710002,710001,similar,3
710003,600015,crosssell,1
710003,600018,crosssell,2
710003,710004,similar,3
710004,600015,crosssell,1
710004,600013,crosssell,2
710004,710003,similar,3
710005,600016,crosssell,1
710005,710001,similar,2
710005,710002,similar,3
710005,710009,upsell,4
710006,600018,crosssell,1
710006,710003,similar,2
710007,600016,crosssell,1
710007,710001,similar,2
710008,600015,crosssell,1
710008,710003,similar,2
710009,600016,crosssell,1
710009,710005,similar,2
710010,600015,crosssell,1
710010,710003,similar,2
710010,710004,similar,3
720001,610001,crosssell,1
720001,200001,crosssell,2
720001,720002,similar,3
720002,610001,crosssell,1
720002,200002,crosssell,2
720002,720001,similar,3
720003,610008,crosssell,1
720003,200001,crosssell,2
720003,720004,upsell,3
720004,610008,crosssell,1
720004,200008,crosssell,2
720004,720003,similar,3
720005,610001,crosssell,1
720005,200001,crosssell,2
720005,720006,similar,3
720006,610008,crosssell,1
720006,720001,similar,2
720007,200008,crosssell,1
720007,610001,crosssell,2
720007,720008,similar,3
720008,200001,crosssell,1
720008,610004,crosssell,2
720008,720007,similar,3
720009,200006,crosssell,1
720009,630002,crosssell,2
720009,720010,upsell,3
720010,200001,crosssell,1
720010,610001,crosssell,2
720010,720009,similar,3
610001,500101,crosssell,1
610001,500003,crosssell,2
610001,610008,upsell,3
610001,610002,similar,4
610002,500109,crosssell,1
610002,610001,similar,2
610002,610008,upsell,3
610003,500101,crosssell,1
610003,500107,crosssell,2
610003,610004,similar,3
610004,400009,crosssell,1
610004,500101,crosssell,2
610004,610003,similar,3
610005,500101,crosssell,1
610005,610006,similar,2
610006,400005,crosssell,1
610006,500101,crosssell,2
610006,610001,similar,3
610007,500106,crosssell,1
610007,610010,similar,2
610008,400001,crosssell,1
610008,500003,crosssell,2
610008,610001,similar,3
610009,400009,crosssell,1
610009,610004,similar,2
610010,500106,crosssell,1
610010,610007,similar,2
620001,500106,crosssell,1
620001,620003,upsell,2
620001,620002,similar,3
620002,730001,crosssell,1
620002,620001,similar,2
620003,500104,crosssell,1
620003,620004,similar,2
620004,500104,crosssell,1
620004,620003,similar,2
620005,500016,crosssell,1
620005,620002,similar,2
620006,500106,crosssell,1
620006,620003,similar,2
620007,730008,crosssell,1
620007,620006,similar,2
620008,500104,crosssell,1
620008,620004,similar,2
620009,500106,crosssell,1
620009,620006,similar,2
620010,730001,crosssell,1
620010,620001,similar,2
630001,630009,crosssell,1
630001,500029,crosssell,2
630001,630002,upsell,3
630002,630009,crosssell,1
630002,500024,crosssell,2
630002,630001,similar,3
630003,630009,crosssell,1
630003,500024,crosssell,2
630003,630004,similar,3
630004,630009,crosssell,1
630004,500029,crosssell,2
630004,630003,similar,3
630005,630009,crosssell,1
630005,630002,similar,2
630005,630006,upsell,3
630006,630009,crosssell,1
630006,500029,crosssell,2
630006,630005,similar,3
630007,500022,crosssell,1
630007,630008,similar,2
630008,500021,crosssell,1
630008,630007,similar,2
630009,630001,crosssell,1
630009,630003,crosssell,2
630009,630004,crosssell,3
630010,630009,crosssell,1
630010,630002,similar,2
630010,630005,similar,3
730001,600001,crosssell,1
730001,600002,crosssell,2
730001,730006,similar,3
730002,600008,crosssell,1
730002,600001,crosssell,2
730002,730001,similar,3
730003,600001,crosssell,1
730003,730001,similar,2
730004,600001,crosssell,1
730004,730002,similar,2
730005,600001,crosssell,1
730005,730008,similar,2
730006,600001,crosssell,1
730006,730001,similar,2
730006,730009,similar,3
730007,600005,crosssell,1
730007,730010,similar,2
730008,700003,crosssell,1
730008,620007,crosssell,2
730008,730005,similar,3
730009,600001,crosssell,1
730009,730006,similar,2
730010,600001,crosssell,1
730010,730007,similar,2
600001,730001,crosssell,1
600001,500021,crosssell,2
600001,600002,similar,3
600002,730001,crosssell,1
600002,500022,crosssell,2
600002,600001,similar,3
600003,730003,crosssell,1
600003,600002,similar,2
600004,730001,crosssell,1
600004,600005,similar,2
600005,730007,crosssell,1
600005,600004,similar,2
600006,730001,crosssell,1
600006,600001,similar,2
600006,600007,similar,3
600007,730001,crosssell,1
600007,600006,similar,2
600008,500022,crosssell,1
600008,730002,crosssell,2
600008,600001,similar,3
600009,500021,crosssell,1
600009,600001,similar,2
600010,730008,crosssell,1
600010,700003,crosssell,2
600010,600003,similar,3
700001,730008,crosssell,1
700001,620007,crosssell,2
700001,700003,similar,3
700002,730008,crosssell,1
700002,700001,similar,2
700003,730008,crosssell,1
700003,620007,crosssell,2
700003,700004,similar,3
700003,700010,upsell,4
700004,730008,crosssell,1
700004,700003,similar,2
700005,730008,crosssell,1
700005,700006,similar,2
700006,700005,similar,1
700006,700003,similar,2
700007,600001,crosssell,1
700007,700008,similar,2
700008,600001,crosssell,1
700008,700007,similar,2
700009,500022,crosssell,1
700009,700003,similar,2
700010,730008,crosssell,1
700010,700003,similar,2
600011,500003,crosssell,1
600011,710001,crosssell,2
600011,600012,similar,3
600012,710003,crosssell,1
600012,500012,crosssell,2
600012,600011,similar,3
600013,500013,crosssell,1
600013,600014,similar,2
600013,600012,similar,3
600014,500013,crosssell,1
600014,620003,crosssell,2
600014,600013,similar,3
600015,710003,crosssell,1
600015,500012,crosssell,2
600015,600016,similar,3
600016,710001,crosssell,1
600016,710007,crosssell,2
600016,600015,similar,3
600017,500101,crosssell,1
600017,620003,crosssell,2
600017,600018,similar,3
600018,710001,crosssell,1
600018,500012,crosssell,2
600018,600017,similar,3
600019,620004,crosssell,1
600019,500013,crosssell,2
600019,600014,similar,3
600020,600010,crosssell,1
600020,500020,crosssell,2
600020,600019,similar,3
