CATEGORY_ID,CATEGORY_NAME,PARENT_CATEGORY_ID
300000,Grocery,
400000,Grocery,
300100,Frozen,300000
300101,Ice Cream,300100
300200,Frozen Meals,300100
333300,Frozen Pizzas,300100
300201,Multi-Serve Meals,300200
300202,Single-Serve Meals,300200
300203,Skillet Meals,300200
300204,International Meals,300200
300205,Pot Pies,300200
300206,Healthy Living,300200
300207,Burritos & Taquitos,300200
300208,Pocket & Sandwiches,300200
300209,Kids Meals,300200
400100,Snacks,400000
400101,Chips,400100
400102,Crackers,400100
400103,Cookies,400100
700100,Bakery,400000
700101,Bread,700100
700102,Custom Cakes,700100
600100,Beverages,400000
600101,Soft Drinks,600100
600102,Water,600100
600103,Coffee,600100
700200,Cereal & Breakfast,400000
400200,Dairy,400000
400201,Milk,400200
400202,Yogurt,400200
400203,Cheese,400200
400204,Shredded Cheese,400203
400205,Chunk Cheese,400203
400206,Sliced Cheese,400203
400207,Snacking Cheese,400203
400208,Cream Cheese,400203
400209,Specialty Cheese,400203
400210,Non-Dairy Cheese,400203
400211,Shelf Stable Cheese,400203
