CATEGORY_NAME,CATEGORY_ID
Wax,100100
Tools,100200
Freestyle+Freeride,10100
Ski Boots,110600
Backpacks,160300
Bags women,160400
Bags,160700
Snow Jackets,190100
Snow Pants,190300
Gloves,190700
Snow Jackets women,200100
Snow Pants women,200300
Shades,210100
Goggles,210200
Beanies,220500
Caps,220600
Socks,221100
Videocamera,222000
Shoes,230000
Shades Women,240100
T-Shirts men,250100
Jackets,250400
Shorts,250600
Belts,251100
T-Shirts women,260100
Jackets women,260400
Skirts and Dresses women,260700
Pants women,260900
T-Shirts youth,270100
Boardshorts youth,270600
Snow Jackets youth,330100
Snow Pants youth,330700
Watches,340000
Shortboards + Fish,350100
Skimboard,351200
Watches women,370700
Belts women,370900
Sandals women,400300
Helmets Snow,450100
Helmets youth,450200
Soft Bindings,50100
667,667
686,686
69 Slam,69 Slam
Aesthetiker,Aesthetiker
Al Merrick,Al Merrick
Alien Workshop,Alien Workshop
Analog,Analog
Anon,Anon
Armada,Armada
Bench,Bench
Billabong,Billabong
Blue Tomato,Blue Tomato
Burton,Burton
Carhartt,Carhartt
DC,DC
Dainese,Dainese
Dakine,Dakine
Dalbello,Dalbello
Element,Element
Elm,Elm
F2-FTWO,F2-FTWO
Femipleasure,Femipleasure
Foursquare,Foursquare
Fox,Fox
GoPro Cam,GoPro Cam
Horsefeathers,Horsefeathers
Hurley,Hurley
Hyper Personalization Products,HypPerCategory
Landing,Landing
Nike,Nike
Nike 6.0,Nike 6.0
Nikita,Nikita
Nixon,Nixon
Oakley,Oakley
Orage,Orage
PYUA,PYUA
Periplus AC+Ion Guides,Periplus AC+Ion Guides
Playboard,Playboard
Quiksilver,Quiksilver
Red,Red
Reef,Reef
Ride,Ride
Rip Curl,Rip Curl
Roxy,Roxy
Sessions,Sessions
Skim One,Skim One
Skullcandy,Skullcandy
Special Blend,Special Blend
Spy,Spy
Surftech,Surftech
TSG,TSG
Toko,Toko
VIVO,VIVO
Vans,Vans
Volcom,Volcom
Von Zipper,Von Zipper
WLD,WLD
Zimtstern,Zimtstern
adidas Originals,adidas Originals
Backpacks,backpack
Caps,caps
droid.,droid
Goggles,goggles
Guides,guides
Helmets,helmet
Kids,kids
Others,others
Shirts,shirts
Shoes,shoes
Ski Gear,skigear
Snow,snow
Streetwear,streetwear
Sunglasses,sunglasses
Surf,surf
Tools,tools
