PROMO_ID,PROMO_PRODUCT_ID,PROMO_PRODUCT_NAME,PROMO_TITLE,PROMO_DESCRIPTION,PROMO_DISCOUNT_PERCENT,PROMO_START_DATE,PROMO_END_DATE
P-2001,94474,Trench Coat,Winter Fashion Sale,Elegant trench coat with 25% off for limited time,25,2026-01-01,2026-12-31
P-2002,97602,Leather Jacket,Premium Leather Special,Genuine leather jacket - Save 30% now,30,2026-01-01,2026-12-31
P-2003,300614711,Black Newyork Cap,Cap Collection Sale,Stylish caps with 20% discount,20,2026-01-01,2026-11-30
P-2004,117452,X8CH 154.5 11/12,Winter Sports Gear,Professional snowboard gear - 35% off,35,2026-01-01,2026-12-31
P-2005,97199,Monkeywrench 157 11/12,Snowboard Clearance,Premium snowboard at special price - 40% off,40,2026-01-01,2026-12-31
P-2006,103088,New Standard SS,T-Shirt Flash Sale,Comfortable tees with 15% discount,15,2026-01-01,2026-11-15
P-2007,108803,Multilogo Good Looking SS Women,Women's Fashion Week,Trendy women's tees - 20% off,20,2026-01-01,2026-11-30
P-2008,117896,Acid SS,Summer Clearance,Cool acid wash tees - Save 25%,25,2026-01-01,2026-11-15
P-2009,118313,Star SS,Basic Tee Sale,Classic star design tees - 18% off,18,2026-01-01,2026-11-30
P-2010,122059,Eat Sleep Dream SS F,Lifestyle Collection,Express yourself - 22% discount,22,2026-01-01,2026-11-30
P-2011,104176,Nightlife T-Shirt Women,Night Out Special,Party-ready tees for women - 20% off,20,2026-01-01,2026-11-30
P-2012,103335,Kelly Jacket Women,Women's Spring Jacket Sale,Stylish women's jackets - 28% off,28,2026-01-01,2026-12-31
P-2013,103410,Last Mission Jacket,Adventure Gear Spring Sale,Ready for adventure - 32% discount,32,2026-01-01,2026-12-31
P-2014,100191,Beacon Jacket,Outdoor Spring Collection,Premium outdoor jacket - 30% off,30,2026-01-01,2026-12-31
P-2015,102284,Tracker Insulated Jacket Youth,Kids Spring Clearance,Keep kids warm - 35% off youth jackets,35,2026-01-01,2026-12-31
P-2016,107728,Score Mini Stripe Jacket youth,Youth Fashion,Trendy youth jackets - 22% discount,22,2026-01-01,2026-12-31
P-2017,300026673,Sneakers Vans Old Skool black/white 10.5,Footwear Mega Sale,Classic Vans sneakers - 15% off,15,2026-01-01,2026-11-30
P-2018,300026674,Sneakers Vans Old Skool black/white 11.0,Shoe Clearance,Popular sizes available - 15% off,15,2026-01-01,2026-11-30
P-2019,300026675,Sneakers Vans Old Skool black/white 12.0,Athletic Footwear,Comfortable sneakers - Save 15%,15,2026-01-01,2026-11-30
P-2020,300026676,Sneakers Vans Old Skool black/white 8.5,Shoe Collection,Classic black and white - 15% off,15,2026-01-01,2026-11-30
P-2021,300026677,Sneakers Vans Old Skool black/white 9.0,Sneaker Special,Limited time offer - 15% discount,15,2026-01-01,2026-11-30
P-2022,118514,Avionics Shades Black,Sunglasses Sale,Protect your eyes with style - 30% off,30,2026-01-01,2026-11-30
P-2023,115117,Vintage 86 blue havana striped,Vintage Collection,Retro sunglasses - 25% discount,25,2026-01-01,2026-11-30
P-2024,115118,Vintage 88 black havana,Classic Eyewear,Timeless style - Save 25%,25,2026-01-01,2026-11-30
P-2025,115195,The Dial Women,Women's Accessories,Elegant watches for women - 20% off,20,2026-01-01,2026-12-31
P-2026,115202,The Player,Watch Collection,Premium timepieces - 18% discount,18,2026-01-01,2026-12-31
P-2027,111114,Biarritz Women,Ladies Watch Sale,Stylish women's watches - 22% off,22,2026-01-01,2026-12-31
P-2028,74825,The Sentry,Men's Watch Special,Classic design watches - 20% discount,20,2026-01-01,2026-12-31
P-2029,94063,The 51-30,Sports Watch Sale,Athletic timepieces - Save 25%,25,2026-01-01,2026-12-31
P-2030,103151,Transplant Flexfit Cap,Cap Bonanza,Comfortable fitted caps - 18% off,18,2026-01-01,2026-11-30
