PRODUCT_ID,PRODUCT_NAME,PRODUCT_IDS
0031-1,Trench Coat,"98851,100402,7001-1,103151,117210"
0032-1,Leather Jacket,"74010,98851,103151,300062456"
7001-1,Black Newyork Cap,"98851,100402,7001-1,103151,117210"
100124,Panorama Pants Women,"98851,100402,7001-1,103151,117210"
100191,Beacon Jacket,"98851,100402,7001-1,103151,117210"
100378,Machete 158 11/12,"95290,117210"
100402,Seizure Bag,"74010,98851,103151,300062456"
100744,Ace Straight Pant Women,"98851,100402,7001-1,103151,117210"
100746,Anzere Pant Women,"98851,100402,7001-1,103151,117210"
100988,Cascata Beanie,"98851,100402,7001-1,103151,117210"
101580,Tone 153 11/12,"95290,117210"
102153,AC Trefoil Shop Bag white,"98851,100402,7001-1,103151,117210"
102277,Trace Helm,"74010,98851,103151,300062456"
102278,Trace Grom Helm youth,"98851,100402,7001-1,103151,117210"
102284,Tracker Insulated Jacket Youth,"98851,100402,7001-1,103151,117210"
103088,New Standard SS,"74010,98851,103151,300062456"
103151,Transplant Flexfit Cap,"74010,103151,95288"
103335,Kelly Jacket Women,"74010,98851,103151,300062456"
103410,Last Mission Jacket,"74010,98851,103151,300062456"
104176,Nightlife T-Shirt Women,"98851,100402,7001-1,103151,117210"
104485,Dream Team II Skate Backpack,"98851,100402,7001-1,103151,117210"
104668,The Reservoir Beanie,"98851,100402,7001-1,103151,117210"
104905,Kyrpton Rampage 11/12,"95290,117210"
105977,The Life Beanie,"98851,100402,7001-1,103151,117210"
105979,The Stripee Fresh Beanie,"98851,100402,7001-1,103151,117210"
107728,Score Mini Stripe Jacket youth,"74010,98851,103151,300062456"
108295,Respect 164 11/12,"95290,117210"
108803,Multilogo Good Looking SS Women,"98851,100402,7001-1,103151,117210"
110839,Team 153 11/12,"95290,117210"
111114,Biarritz Women,"74010,98851,103151,300062456"
115117,Vintage 86 blue havana striped,"98851,100402,7001-1,103151,117210" 
115118,Vintage 88 black havana,"98851,100402,7001-1,103151,117210"
115195,The Dial Women,"74010,98851,103151,300062456"
115202,The Player,"98851,100402,7001-1,103151,117210"
115755,Ekeel 6.3 G/O Fish,"95290,74010,98851,7001-1"
117080,Monster SS Youth Girls,"98851,100402,7001-1,103151,117210"
117204,BT Contrast Cap,"74010,103151,95288" 
117205,BT Full Splatter Cap,"98851,100402,7001-1,103151,117210"
117210,Faded Droid Cap,"74010,103151,95288" 
117211,Easy Beanie,"98851,100402,7001-1,103151,117210" 
117452,X8CH 154.5 11/12,"95290,117210"
117896,Acid SS,"95290,74010,98851,7001-1"
117900,Ginga Cap,"74010,103151,95288" 
117909,Handshake Belt,"74010,103151,95288"
117911,Granda Belt,"74010,103151,95288" 
118174,Sixo Cargo Short,"98851,100402,7001-1,103151,117210"
118313,Star SS,"95290,74010,98851,7001-1"
118514,Avionics Shades Black,"98851,100402,7001-1,103151,117210"
118591,Frickin Too Short 22'',"98851,100402,7001-1,103151,117210"
118603,Laundry Chino Short,"98851,100402,7001-1,103151,117210"
118693,Secret Spot Belt Women,"95290,74010,98851,7001-1"
118720,Bene Women,"95290,74010,98851,7001-1"
118833,Purma Backpack,"98851,100402,7001-1,103151,117210"
118859,Assortment Web Belt,"98851,100402,7001-1,103151,117210"
118871,Maguro Pu Belt,"74010,103151,95288"
118879,Incision Leather Belt,"74010,103151,95288" 
118893,I Love Tee SS Women,"95290,74010,98851,7001-1" 
118894,Lola Tee SS Women,"95290,74010,98851,7001-1"
118899,Maguro Print Boardshort Youth,"98851,100402,7001-1,103151,117210"
121832,Strybal Scoop Tee SS Women,"98851,100402,7001-1,103151,117210"
121868,Strybal Dress Women,"98851,100402,7001-1,103151,117210" 
121939,Forever Creedlers Women,"98851,100402,7001-1,103151,117210" 
121941,Rocking 2 Creedlers Women,"98851,100402,7001-1,103151,117210" 
121942,Rocking 2 Creedlers Women,"95290,74010,98851,7001-1"
122041,Pledge Short,"95290,74010,98851,7001-1"
122059,Eat,"95290,74010,98851,7001-1"
122072,Element Flat Cap,"98851,100402,7001-1,103151,117210"
122074,El Moro Hat,"98851,100402,7001-1,103151,117210"
122233,Nava-Roll the World Beach Tote Women,"98851,100402,7001-1,103151,117210" 
122312,System Tee SS,"95290,74010,98851,7001-1" 
122320,Eclipse Tee SS,"98851,100402,7001-1,103151,117210"
122321,Quad Tee SS,"95290,74010,98851,7001-1"
122333,Because Tee SS,"98851,100402,7001-1,103151,117210"
122340,Jackson Tee SS,"98851,100402,7001-1,103151,117210"
122379,Seizure Satchel,"95290,74010,98851,7001-1" 
122394,Boxed Out Boardshort youth,"98851,100402,7001-1,103151,117210"
122405,Eclipse SS youth,"95290,74010,98851,7001-1"
122409,Asterisk SS youth,"95290,74010,98851,7001-1" 
122410,Thort SS youth,"95290,74010,98851,7001-1"
122412,Skull 80 SS youth,"98851,100402,7001-1,103151,117210"
122447,Up Country Floral Dress Women,"98851,100402,7001-1,103151,117210"
122459,Gusty Tote Ball Bag Women,"98851,100402,7001-1,103151,117210" 
122461,Wind Jammer Tote Beach Bag Women,"98851,100402,7001-1,103151,117210" 
122670,Enterprize Cap,"74010,103151,95288"
122723,Override Reversible Belt Women,"98851,100402,7001-1,103151,117210" 
122784,Overlay Cushion Women,"98851,100402,7001-1,103151,117210" 
122800,Solo Parenth SS,"95290,74010,98851,7001-1"
122811,Her Logo SS Women,"98851,100402,7001-1,103151,117210" 
123759,Rollercoaster SS,"95290,74010,98851,7001-1"
123922,Bike Bones SS Youth,"95290,74010,98851,7001-1" 
123970,Baby II Bag Women,"98851,100402,7001-1,103151,117210" 
124267,Airline Bag,"95290,74010,98851,7001-1"
124693,Rachel Women,"98851,100402,7001-1,103151,117210"
129704,The Lodown,"95290,74010,98851,7001-1"
129707,The Private,Youth,"98851,100402,7001-1,103151,117210"
130663,HD Hero2 Outdoor Edition,"98851,100402,7001-1,103151,117210"
132042,Tassara Pants Girls Youth,"98851,95288,122723,300062456,300020294"
132871,Limited Jacket,"98851,100402,7001-1,103151,117210"
135304,Thermo Cork,"98851,100402,7001-1,103151,117210"
138966,Flow Tee SS Youth,"98851,95288,122723,300062456,300020294"
144862,Del Chaos Tee SS Youth,"98851,95288,122723,300062456,300020294"
21618,Base Brush Combi Nylon/Copper,"98851,100402,7001-1,103151,117210"
29160,The Rotolog,"98851,100402,7001-1,103151,117210"
