PRODUCT_ID,PRODUCT_NAME,SUMMARY,PRICE,CATEGORY_IDS,IMAGE_URL
0031-1   ,Trench Coat												 ,A timeless and elegant trench coat																																																														,650    ,HypPerCategory|260400					,https://ec2-3-17-109-117.us-east-2.compute.amazonaws.com:9002/medias/trench-coat.jpg?context=bWFzdGVyfHJvb3R8MjIxMDB8aW1hZ2UvanBlZ3xhRFptTDJnMVlTODROemszTnpjNU9UVXhOalEyTG1wd1p3fGIyNTc5ODEyNmU1ZGYzOTEyNjA1YTE0NGM3ZDFkMzExNDE0MjMxOWE0OTBkNTk4OGFjOTM0MTI3ZWJkNzRjYzc
0032-1   ,Leather Jacket                                             ,A classic leather jacket that offers a stylish and edgy look                                                                                                                                                                                                                              ,999    ,HypPerCategory|250400                  ,https://ec2-3-17-109-117.us-east-2.compute.amazonaws.com:9002/medias/leather-jacket-1.jpg?context=bWFzdGVyfHJvb3R8MjIyMTl8aW1hZ2UvanBlZ3xhRGxtTDJneFl5ODRPREF3TmpFNU5USTRNakl5TG1wd1p3fGY0ZjQwYzEwOTNlN2IzMjRiY2MzOTcxNDMwMzgxMjY0Mzc3MTQ3MjY4ODY2ODUzMWM5ZGY4NzAzYjEyMDAxNjY
7001-1   ,Black Newyork Cap                                          ,Minimalist and bold                                                                                                                                                                                                                                                                       ,50     ,HypPerCategory                         ,https://ec2-3-17-109-117.us-east-2.compute.amazonaws.com:9002/medias/cap-image-1.jpg?context=bWFzdGVyfHJvb3R8MjYyNTd8aW1hZ2UvanBlZ3xhR05tTDJneE5TODROemszTnpjNU1qazJNamcyTG1wd1p3fGE0ZDlkMDhmNzZlZmYwNmMzNDExZDU4MTQzNmYyYWI2MGEyOWZiNGQxNDM3MGNlYzc3YmMzOTQ5MTAwZGU2MmQ
100124   ,Panorama Pants Women                                       , Show everyone what a nice figure you have. Now it's even possible when you go snowboarding                                                                                                                                                                                               ,153.860,260900|streetwear|Nikita               ,https://ec2-3-17-109-117.us-east-2.compute.amazonaws.com:9002/medias/?context=bWFzdGVyfGltYWdlc3wxNjY3NnxpbWFnZS9qcGVnfGFXMWhaMlZ6TDJneU1pOW9aRGt2T0RjNU5qZzFNamcwTmpZeU1pNXFjR2N8MTk3NTAxNDExMmRkM2MzZTMzNjBkNDQ1YjgxMjI5ODA3MzE0YTc0ZTgyM2RlZGQ2MWUzNzc5ODQxYTE1YzJhMg
100191   ,Beacon Jacket                                              , Who can say no to fresh roast bacon?! Then you should also say Yes to the Beacon Jacket by Armada. This jacket doesn't only has style but also super features                                                                                                                            ,101.21 ,Armada|snow|190100                     ,https://ec2-3-17-109-117.us-east-2.compute.amazonaws.com:9002/medias/?context=bWFzdGVyfGltYWdlc3wyMDU1N3xpbWFnZS9qcGVnfGFXMWhaMlZ6TDJnME9TOW9NbVV2T0RjNU5qWTRNRGd4TkRZeU1pNXFjR2N8YWJjZTY5NmZmOGMwODA0NjI4OWRjZjRmNDQ0MDU2ZWNmODE2YzlmNTlhYjc2ZjY0MTY0NjIxZGNmZWVlYjMwYg
100378   ,Machete 158 11/12                                          , Rock out with your pop out! The award-winning Machete by Ride comes with Pop-Rods® 1.0.                                                                                                                                                                                                  ,275.36 ,10100|Ride|snow                        ,https://ec2-3-17-109-117.us-east-2.compute.amazonaws.com:9002/medias/?context=bWFzdGVyfGltYWdlc3wyMDcwN3xpbWFnZS9qcGVnfGFXMWhaMlZ6TDJnek9TOW9OVGN2T0RjNU5qYzNNamc1TWpjd01pNXFjR2N8ZjE0YzU4Y2Y4NjEzNzg2OTY2MGRiZTk1YjViNDllOWU4Yzg5M2ZkMWYwZmVkZmFmMWU3ZWM3YTFkYWUzNTYyNw
100402   ,Seizure Bag                                                , No chance that Billabong forgets about the classic among their bags. Therefore the Seizure bag is again part of the collection                                                                                                                                                           ,24.26  ,Billabong|streetwear|160700            ,https://ec2-3-17-109-117.us-east-2.compute.amazonaws.com:9002/medias/?context=bWFzdGVyfGltYWdlc3wxNzMwNXxpbWFnZS9qcGVnfGFXMWhaMlZ6TDJneU5DOW9ZV1F2T0RjNU5qa3lNelEyTVRZMk1pNXFjR2N8YWRkNTQyNWJlZTk1ZjEzZTRlNDczYWVhNDhlZTgxNTJhMDIyOTEzZWJlM2FlYTMxZTliZWIxNTI0ZWVjMGM5MQ
100744   ,Ace Straight Pant Women                                    , Chic and comfy! The Ace pant by DC comes with subtle cargo pockets and in a clean design. It is ready for anything you throw at her and the added 40g insulation will keep you warmer in colder climates.                                                                                ,89.06  ,DC|snow|200300                         ,https://ec2-3-17-109-117.us-east-2.compute.amazonaws.com:9002/medias/?context=bWFzdGVyfGltYWdlc3wxNzIxMnxpbWFnZS9qcGVnfGFXMWhaMlZ6TDJnM015OW9Oell2T0RjNU5qZzFNVGcyTXpVNE1pNXFjR2N8YzQ5ZTViMjE3NTg5YzQ4YmViYmFlY2VhYjIwMjczMDUxYWNmMjljMjU1MjQzMTlhNmI0Mjk0NDU2NzczMGIyMg
100746   ,Anzere Pant Women                                          , Best of the best for all weather conditions. DC's Anzere pant for women is an amazing piece in a cool design and with cargo pockets.                                                                                                                                                     ,113.36 ,DC|snow|200300                         ,https://ec2-3-17-109-117.us-east-2.compute.amazonaws.com:9002/medias/?context=bWFzdGVyfGltYWdlc3wxNjI5OXxpbWFnZS9qcGVnfGFXMWhaMlZ6TDJneU5TOW9aVEF2T0RjNU5qZzFOREUxTnpNME1pNXFjR2N8ZmYyODk0OGQ4OTk1NTc3MzBmNzgzYzVjZmNkOGIzYTQ3ODVjMDc3MjA4MjAxNmQwM2MyYWZlMjhkZjVhNmNjYg
100988   ,Cascata Beanie                                             , Reversible plus a visor! This is the Cascata Beanie by DC! 100% Acrylic                                                                                                                                                                                                                  ,28.31  ,DC|220500                              ,https://ec2-3-17-109-117.us-east-2.compute.amazonaws.com:9002/medias/?context=bWFzdGVyfGltYWdlc3wxOTc4NHxpbWFnZS9qcGVnfGFXMWhaMlZ6TDJoaVpTOW9PV1l2T0RjNU5qYzBNakE1TURjNE1pNXFjR2N8MTNlYTJhOWZmMjEzMGVjMTNjNjk4NWE5ZjNiMGQzODMyNGYxYmNhZTE2MGRhZTY5MWI3Y2ExNjZlMDRiZjI5Mw
101580   ,Tone 153 11/12                                             , DC's most versatile board ever                                                                                                                                                                                                                                                           ,226.76 ,DC|snow|10100                          ,https://ec2-3-17-109-117.us-east-2.compute.amazonaws.com:9002/medias/?context=bWFzdGVyfGltYWdlc3wxODYyM3xpbWFnZS9qcGVnfGFXMWhaMlZ6TDJnd1ppOW9NR0l2T0RjNU5qYzNNelUwT0RBMk1pNXFjR2N8MjVlZThmZmVjZWM0OTQ1YzY0YWJiODNmNmQ3MGQ2NzIwYTlhZTlhMjExMDA1NjVmZjMwZDU4MmY5YzJmZDllMA
102153   ,AC Trefoil Shop Bag white                                  , You can store your shopping or your favourite belongings for every day use into the adidas AC Trefoil Shop bag.                                                                                                                                                                          ,1.98   ,adidas Originals|streetwear|160400     ,https://ec2-3-17-109-117.us-east-2.compute.amazonaws.com:9002/medias/?context=bWFzdGVyfGltYWdlc3wxMDE0MnxpbWFnZS9qcGVnfGFXMWhaMlZ6TDJoaU5DOW9aR1V2T0RjNU5qa3hPVFV5T1RVd01pNXFjR2N8NTdiZmFkZTU4YmIyMThmOTcxN2NkOGQ4YjliZGQ2NGQzNjNlNzQ4OTM5YTRiMzZmZjk1ZmY3OWQzMmNmYjliNA
102277   ,Trace Helm                                                 , You could say you never bail and we could say you never try. For those who go for it on a daily basis                                                                                                                                                                                    ,40.46  ,450100|Red|snow                        ,https://ec2-3-17-109-117.us-east-2.compute.amazonaws.com:9002/medias/?context=bWFzdGVyfGltYWdlc3wxNzQ2NHxpbWFnZS9qcGVnfGFXMWhaMlZ6TDJnME9TOW9aR0l2T0RjNU5qY3hOekU0TnpFd01pNXFjR2N8ZjRhODVhZTM1NDA1NzM2ZTdmMjZhODNjZTFhZTBjODBmNTEwODAzOTczMzY5YTdkZTdkODM1YWU4MTAyZjNiMQ
102278   ,Trace Grom Helm youth                                      , Made for the preschool ripper that puts you to shame                                                                                                                                                                                                                                     ,32.36  ,450200|Red|kids                        ,https://ec2-3-17-109-117.us-east-2.compute.amazonaws.com:9002/medias/?context=bWFzdGVyfGltYWdlc3wyMDYwNnxpbWFnZS9qcGVnfGFXMWhaMlZ6TDJobE1TOW9NVGN2T0RjNU5qZzROVFl4TkRZeU1pNXFjR2N8NDNmMWVkYmU0OTUyNGUwMTkyNTBjYjU1ODM5ZGEzMjI2NmYxMzNiZTk3Y2ZjOThjMjY1Y2YwYTM0OGEzZTA5NQ
102284   ,Tracker Insulated Jacket Youth                             , Let it storm children!<br /><br />The youth know. They hike past legs twice their length in pursuit of visions that rip them from sleep.                                                                                                                                                 ,97.16  ,Volcom|snow|kids|330100                ,https://ec2-3-17-109-117.us-east-2.compute.amazonaws.com:9002/medias/?context=bWFzdGVyfGltYWdlc3wyMzA0OHxpbWFnZS9qcGVnfGFXMWhaMlZ6TDJoaU5TOW9aall2T0RjNU5qYzNPRFEyTXpJMk1pNXFjR2N8YTAwMGJmZmI2Yzg1OGU1N2U0YjIxZDhmMjMzZmQ0MjZmNzQ2MmVhZmUxZTVlODRhZjliYzI5NTA5M2I4YzY5NQ
103088   ,New Standard SS                                            , Set a new standard with the trendy Standard tee by Volcom. 100% Cotton                                                                                                                                                                                                                   ,20.21  ,Volcom|streetwear|250100               ,https://ec2-3-17-109-117.us-east-2.compute.amazonaws.com:9002/medias/?context=bWFzdGVyfGltYWdlc3wxNjMzNXxpbWFnZS9qcGVnfGFXMWhaMlZ6TDJoaVl5OW9OR012T0RjNU5qazBORGMyTURnMk1pNXFjR2N8ZTZhODE4MjFhNTllNjhiNGNmYWI4ZjQwOWVlNDczOWEyYTgwZGQ1MDA2ZGNkODMzZDBhODE5ZDBiY2RkYTJiOQ
103151   ,Transplant Flexfit Cap                                     , A trendy Volcom Stone logo on the Transplant Flexfit cap. 98% Cotton 2% Spandex                                                                                                                                                                                                          ,24.26  ,Volcom|220600                          ,https://ec2-3-17-109-117.us-east-2.compute.amazonaws.com:9002/medias/?context=bWFzdGVyfGltYWdlc3wyMzg5NXxpbWFnZS9qcGVnfGFXMWhaMlZ6TDJnMlpDOW9aVGd2T0RjNU5qazJOVGN6TWpNNE1pNXFjR2N8ZDhiZGFlYzY0NjI5MzQ0ZDQ3ZmMzNTJjY2VmOGViYzIyYWY4MDY2NWY3YjQ2NDczZDFkZWRhYzM0M2I0MGVkZQ
103335   ,Kelly Jacket Women                                         , The Kelly Jacket by WLD is a top cut jacket for all the girls out there                                                                                                                                                                                                                  ,80.95  ,200100|WLD|snow                        ,https://ec2-3-17-109-117.us-east-2.compute.amazonaws.com:9002/medias/?context=bWFzdGVyfGltYWdlc3wyNTE0NXxpbWFnZS9qcGVnfGFXMWhaMlZ6TDJobE5DOW9NV1V2T0RjNU5qZ3lNVE00T1RNME1pNXFjR2N8ZDJmYTJiYjcwNDQ3MDBmM2E4MjQ0NjdlNzJjYjYxOTAzZWE1ZWJiM2M2OGMwMTg1MWNjOTdhZjRmNDc4OTc2MA
103410   ,Last Mission Jacket                                        , This is the Quiksilver classic and it always presents itself in a new outfit. Even if you thought you have seen them all you will always find a new one. The Last Mission Jacket presents itself in new colours                                                                          ,64.7600,190100|Quiksilver|snow                 ,https://ec2-3-17-109-117.us-east-2.compute.amazonaws.com:9002/medias/?context=bWFzdGVyfGltYWdlc3wyNzAwNHxpbWFnZS9qcGVnfGFXMWhaMlZ6TDJnM01pOW9Nak12T0RjNU5qWTNPVGd6TVRVNE1pNXFjR2N8NzRkYjlmMDQxNzE2MmRiNDZjOGZkNWY0NzY1ZWMzNjAyZjFmNjU4MmI5NTcyMWVmNWMxODcxMWZlYmU2ZGRhYw
104176   ,Nightlife T-Shirt Women                                    , Features:<br /><br /> <br />+ 50% COTTON                                                                                                                                                                                                                                                 ,64.7600,260100|streetwear|Horsefeathers        ,https://ec2-3-17-109-117.us-east-2.compute.amazonaws.com:9002/medias/?context=bWFzdGVyfGltYWdlc3wxMTMyNXxpbWFnZS9qcGVnfGFXMWhaMlZ6TDJoa1ppOW9NR1V2T0RjNU5qZzJNRE00TXpJMk1pNXFjR2N8YjlkNDc0YjliMThlZGY4ZjhjOWMxNDUwYTIxYmVjMTI4YTFhMGViMmQ2MTQyNmE1OTk1MTRiMDQ5NGYzMDRjOQ
104396   ,BT Shopping Bag                                            , Not just for shopping. You can also use the BT Shopping bag for the beach or something else. 100% Polyester                                                                                                                                                                              ,1.58   ,Blue Tomato|streetwear|160700          ,https://ec2-3-17-109-117.us-east-2.compute.amazonaws.com:9002/medias/?context=bWFzdGVyfGltYWdlc3wxNjAwMHxpbWFnZS9qcGVnfGFXMWhaMlZ6TDJnNU9TOW9NRE12T0RjNU5qa3lNRGcwTURJeU1pNXFjR2N8Nzc3Mzk1MmU4MTM1ZTg5ODkwOWYwZTgxMWIwM2M4NDY4MDY3MTQ3ZTZmMTJiMmEyN2QyM2U1NWZmZTRjNmM0Mg
104485   ,Dream Team II Skate Backpack                               , You have already found your Dream Team concerning your Skate career… only a backpack is missing. Well then the Dream Team II Backpack by Skullcandy is the solution for you! It has skate straps                                                                                         ,60.71  ,160300|Skullcandy|streetwear           ,https://ec2-3-17-109-117.us-east-2.compute.amazonaws.com:9002/medias/?context=bWFzdGVyfGltYWdlc3wyNjU0MXxpbWFnZS9qcGVnfGFXMWhaMlZ6TDJobU15OW9ZV1F2T0RjNU5qa3lNVGd5TXpJMk1pNXFjR2N8NDM0YWJiMzc4ZDY1ZGFjYjFkMjY3NmRlZGYwMGE1OGI0Y2U3M2EzNWNiOGU4ZGM3YzVjNmUyMzE5ODg3OWFlZg
104668   ,The Reservoir Beanie                                       ," You will not find a more typical Beanie for Elm than the Reservoir Beanie. This beanie really has the Elm Fit"". 100% Acrylic"""                                                                                                                                                        ,14.54  ,220500|Elm                             ,https://ec2-3-17-109-117.us-east-2.compute.amazonaws.com:9002/medias/?context=bWFzdGVyfGltYWdlc3wxMzU0NHxpbWFnZS9qcGVnfGFXMWhaMlZ6TDJnM01DOW9ORE12T0RjNU5qY3pNVFl3TlRBeU1pNXFjR2N8YzQwMjg2NTAwMjUzMGU5ZjExNzRiZWE1NDY1YWYyOWMxZjNkOTFlZDdhYzlmYTM4MmQ1NTY0MGZkNmZkZTdjNQ
104905   ,Kyrpton Rampage 11/12                                      , One of the most popular Freestyle boots in the world. The Krypton Rampage is a World Class performer developed specifically for all around the mountain versatility and performance.                                                                                                     ,242.96 ,110600|Dalbello                        ,https://ec2-3-17-109-117.us-east-2.compute.amazonaws.com:9002/medias/?context=bWFzdGVyfGltYWdlc3wyOTg1NXxpbWFnZS9qcGVnfGFXMWhaMlZ6TDJnM09TOW9ZalF2T0RjNU5qZzVNVEU0TlRFNE1pNXFjR2N8NDhkOTk3NGNlYjgxOTIxYWI1MDI1ZTQzODY3ZTI4Zjg0NDRkZWViNDgxMjAxYzRlMTZkYTc5NzA2MDhiNTAzMw
105977   ,The Life Beanie                                            , Live you life… or something like that could have been the motto for the invention of the Life Beanie. Casual beanie with embroidered logo by Landing. 100% Acrylic                                                                                                                       ,15.35  ,Landing|220500                         ,https://ec2-3-17-109-117.us-east-2.compute.amazonaws.com:9002/medias/?context=bWFzdGVyfGltYWdlc3wzMTc2NnxpbWFnZS9qcGVnfGFXMWhaMlZ6TDJoaVppOW9OVFF2T0RjNU5qYzBNRGM0TURBMk1pNXFjR2N8ZTU4YmRiMTkwOGQ1YmYwYjlkNGU1Nzg1YWE5ZDRmNjgxZjEzOGVkNDgxYzk0MTQwNmQ3ODMwOGVlMjE4YjYyOQ
105979   ,The Stripee Fresh Beanie                                   , You will always attract attention with this great beanie. The Stripee Fresh Beanie by Landing with trendy stripes and logo embroidery at front. 100% Acrylic                                                                                                                             ,26.69  ,220500|Landing                         ,https://ec2-3-17-109-117.us-east-2.compute.amazonaws.com:9002/medias/?context=bWFzdGVyfGltYWdlc3wzMjUyNHxpbWFnZS9qcGVnfGFXMWhaMlZ6TDJnellpOW9ZbU12T0RjNU5qY3pORFUxTkRFME1pNXFjR2N8MGJjZmQ2NzVmZGQzYzM5ZmJmMzY1ZDFmMDU3ODI5YTUwYmViMTI0NmRkODYwNjc0YTY0YzA0ODJkOTc4Njc5ZA
107728   ,Score Mini Stripe Jacket youth                             , Sessions Score Mini Stripe Jacket                                                                                                                                                                                                                                                        ,97.16  ,Sessions|snow|kids|330100              ,https://ec2-3-17-109-117.us-east-2.compute.amazonaws.com:9002/medias/?context=bWFzdGVyfGltYWdlc3wzNjAzNnxpbWFnZS9qcGVnfGFXMWhaMlZ6TDJnMU5DOW9Oamd2T0RjNU5qYzRPREk1TXpZMk1pNXFjR2N8NDg3ODA4OWZmOTcwMTE0ZTVlZTQ4NDBiNjU5NjUwN2VjMTE2ZjlmNTg4ODllNjU3NmRiMDBlYmZhNmU4ZWQ5NA
108295	 ,Respect 164 11/12											 ,Featuring Variorocker and V-Tail for the big days on big mountains it will make you appreciate the surfy feel of this innovative concept																																					,291.56 ,F2-FTWO|snow|10100                     ,https://ec2-3-17-109-117.us-east-2.compute.amazonaws.com:9002/medias/?context=bWFzdGVyfGltYWdlc3wxNjMyOHxpbWFnZS9qcGVnfGFXMWhaMlZ6TDJnMU1TOW9Zak12T0RjNU5qYzNORFV6TVRFd01pNXFjR2N8NWQ4YWE1NDQ2NDlmYzBlNDRjYzVhYzNiNzQyNTQ5OTgyZGNmNWQ4M2NjNDFjZjRmZmZlN2ZmNTllZDE1MmVmZg
108803   ,Multilogo Good Looking SS Women                            , Unbelievable, but true! The Multilogo Good Looking T-Shirt by Roxy will get all eyes on you																																																,17.78	,260100|streetwear|Roxy                 ,https://ec2-3-17-109-117.us-east-2.compute.amazonaws.com:9002/medias/?context=bWFzdGVyfGltYWdlc3wxOTE5MHxpbWFnZS9qcGVnfGFXMWhaMlZ6TDJnNU5DOW9Oall2T0RjNU5qazFNemczTURNMk5pNXFjR2N8Y2RiODE0MGQwOWQwYTQxNTI0MGVhZmU5ZTkxODMxN2RmMDY2ZWI0ODdjMWY4YjkxZGJlNzg0YTRjMzNhZmI2NQ																															,
110839   ,Team 153 11/12                                             , The Team line stands for Ästhetikers standards of hight quality woodcore snowboards produced in the Alps! A fair trÄde" board featuring everything you need for a perfect day at your favourite spot																						,178.00	,10100|Aesthetiker|snow                 ,https://ec2-3-17-109-117.us-east-2.compute.amazonaws.com:9002/medias/?context=bWFzdGVyfGltYWdlc3wyMjA0MXxpbWFnZS9qcGVnfGFXMWhaMlZ6TDJnMllTOW9Zell2T0RjNU5qYzNNekl5TURNNE1pNXFjR2N8ZWE3MTAxZTM2N2Y3OTMwZWE3YTM4OWM0NzAwMzkzZjU3MTg2NGI4MzBlMjVlZGUxNDYzZjQ0ODJlZjgyMjI3OA																																																					,
111114   ,Biarritz Women                                             , Stylish watch with cool Roxy design!                                                                                                                                                                                                                                                     ,291.56 ,Roxy|370700                            ,https://ec2-3-17-109-117.us-east-2.compute.amazonaws.com:9002/medias/?context=bWFzdGVyfGltYWdlc3wyMDc2MHxpbWFnZS9qcGVnfGFXMWhaMlZ6TDJnMk1DOW9PRFV2T0RjNU5qZzFOVFEyT0RBMk1pNXFjR2N8YTc2ZDI3Zjc3MWZiNDE2ZmE1ZjJhMjBhOWI2Nzk1NDliOTkwMjNlMjFhNTNiN2JkNTc1M2I0MGViODc3YjA3MA
115117   ,Vintage 86 blue havana striped                             , The Nike Vintage 86 is a highlight among the Vintage sunglasses                                                                                                                                                                                                                          ,17.78  ,Nike|210100                            ,https://ec2-3-17-109-117.us-east-2.compute.amazonaws.com:9002/medias/?context=bWFzdGVyfGltYWdlc3wxMTE2MXxpbWFnZS9qcGVnfGFXMWhaMlZ6TDJnM05TOW9OR0V2T0RjNU5qa3lORFEwTkRjd01pNXFjR2N8OWQwNDM0ZWQ1ODBmMTlmYjU2MjU0MDMzMGFkMWUwYjQ3YWE0NDg3MTg5ZDk3NThjMDA4MzgxYTY1NDNmMmM0Mw
115118   ,Vintage 88 black havana                                    , The Nike Vintage 88 combines an old school look with up to date design. The multiple layers of colours and the authentic hinge construction                                                                                                                                              ,178.16 ,Nike|210100                            ,https://ec2-3-17-109-117.us-east-2.compute.amazonaws.com:9002/medias/?context=bWFzdGVyfGltYWdlc3wxMTYwMnxpbWFnZS9qcGVnfGFXMWhaMlZ6TDJoaE5TOW9ZVGd2T0RjNU5qa3lOREV4TnpBeU1pNXFjR2N8NDkwMGRmNzEzZjQxZmJmYzZjNzg2ZmQ5OGIzNGIwOGNhNjQ4ODdhMTA3ZDYyNDY2ODIwNGQ4M2Q3MTMyZDllZA
115195   ,The Dial Women                                             , The Nixon The Dial watch is every girl's dream!                                                                                                                                                                                                                                          ,80.9599,370700|Nixon                           ,https://ec2-3-17-109-117.us-east-2.compute.amazonaws.com:9002/medias/?context=bWFzdGVyfGltYWdlc3wyNDQyN3xpbWFnZS9qcGVnfGFXMWhaMlZ6TDJnME5DOW9ZbVl2T0RjNU5qZzFOVEUwTURNNE1pNXFjR2N8NDE1MDg0MzZmMTE3NmQzN2ViNWRjMTU0Y2MzOTc5ZWUyYTg3NzRiOWQxNDgwOTU0YTQzYTEzMDM1MmJiNTJmYg
115202   ,The Player                                                 , The Nixon Player watch combines magnificant steel with style and diamonds! A mixture women can't resist!                                                                                                                                                                                 ,72.86  ,340000|Nixon                           ,https://ec2-3-17-109-117.us-east-2.compute.amazonaws.com:9002/medias/?context=bWFzdGVyfGltYWdlc3wyMDY2OXxpbWFnZS9qcGVnfGFXMWhaMlZ6TDJnME9DOW9PRE12T0RjNU5qZzFOelF6TkRFME1pNXFjR2N8OTU5YWQ5NDNlNWQ2Zjk1ZTUwNGQ2NTk3MGQ1MGFiZDNmYmU5ZTBiMWQyMjIxZmFlYTcwNGY1YWJlZmYzYjFkNQ
115755   ,Ekeel 6.3 G/O Fish                                         , The new traditional fish design developed exclusively with Joe Curren. The Even Keel by Al Merrick comes standard with double foil wood keel fins and 6+6/4 layups that achieve ideal swing weight and momentum through turns. Joe’s board of choice over 50% of the time                ,72.86  ,Al Merrick|surf|350100                 ,https://ec2-3-17-109-117.us-east-2.compute.amazonaws.com:9002/medias/?context=bWFzdGVyfGltYWdlc3w4OTY4fGltYWdlL2pwZWd8YVcxaFoyVnpMMmhqWVM5b05URXZPRGM1TmpnNU1qRTJPREl5TWk1cWNHY3w1MDNhM2FhN2JiNzA4ODliZTYzZmNmNTQ2NDdjNDQ0MDRjMTQ2ZmFkMDE1NGQ1MjQxMzUxYTE0ODljNjczYmY3
117080   ,Monster SS Youth Girls                                     , Girls This one on the new Blue Tomato Monster t-shirt for specially for girls                                                                                                                                                                                                            ,56.66  ,Blue Tomato|kids|streetwear|270100     ,https://ec2-3-17-109-117.us-east-2.compute.amazonaws.com:9002/medias/?context=bWFzdGVyfGltYWdlc3wyMDEyMnxpbWFnZS9qcGVnfGFXMWhaMlZ6TDJobVlpOW9ORFF2T0RjNU5qZzRNak16TnpneU1pNXFjR2N8MDhkYmU0NDlkODFhOGZkY2MxMmQzM2M5Y2ZlOTc1MjQyMTMxNDhhYjZlZGUwNDU1Nzk5YjNhOTkyNzg1NzFiNw
117204   ,BT Contrast Cap                                            , The Blue Tomato Contrast cap is the one piece missing in your wardrobe. 97% Cotton 3% spandex                                                                                                                                                                                            ,210.56 ,Blue Tomato|220600                     ,https://ec2-3-17-109-117.us-east-2.compute.amazonaws.com:9002/medias/?context=bWFzdGVyfGltYWdlc3wxNTc1N3xpbWFnZS9qcGVnfGFXMWhaMlZ6TDJoaE9DOW9PR1F2T0RjNU5qazJORFF5TVRZMk1pNXFjR2N8MzhkMDljNGUyZDk4MWZjMzZiZmI0MzQwOTUzZWNmOTdkOGRkODg3ZDhhYjg5NWYwNTk1ZWZmYjI5ZTVjMGY3Zg
117205   ,BT Full Splatter Cap                                       , The Blue Tomato Full Splatter Cap brings the missing style points. 97% cotton 3% spandex                                                                                                                                                                                                 ,720.86 ,Blue Tomato|220600                     ,https://ec2-3-17-109-117.us-east-2.compute.amazonaws.com:9002/medias/?context=bWFzdGVyfGltYWdlc3wxODM5M3xpbWFnZS9qcGVnfGFXMWhaMlZ6TDJoallpOW9PRFF2T0RjNU5qazJOakEyTURBMk1pNXFjR2N8MDc0ZjhlMTVlOWU0YjA3MzJjZDBiYWQwZjExM2EwOWRhYWU3M2IwY2IzZGYwMzQ0ODU5OGQ4YzExYzZhYmYwZA
117210   ,Faded Droid Cap                                            , The droid. Faded Cap let you never fade away. 97% Cotton 3% spandex                                                                                                                                                                                                                      ,12.92  ,droid|220600                           ,https://ec2-3-17-109-117.us-east-2.compute.amazonaws.com:9002/medias/?context=bWFzdGVyfGltYWdlc3wxODk1NnxpbWFnZS9qcGVnfGFXMWhaMlZ6TDJnMU55OW9aakF2T0RjNU5qazJOVFF3TkRjd01pNXFjR2N8Zjg5OGE1MzQ0ODQ1ZGIzODJjOGJhZGVmYWMyZWJlYjMzNDBkZmVmNzc0NGFkZWFmYzUxYTg2MGVkZTRmMWE0ZQ
117211   ,Easy Beanie                                                , The droid. Easy Beanie - keeps your head warm easily. 100% acrylic                                                                                                                                                                                                                       ,11.3   ,220500|droid                           ,https://ec2-3-17-109-117.us-east-2.compute.amazonaws.com:9002/medias/?context=bWFzdGVyfGltYWdlc3wyNjYwOHxpbWFnZS9qcGVnfGFXMWhaMlZ6TDJnMk55OW9NbUl2T0RjNU5qY3lPRFkxTlRrd01pNXFjR2N8NGVhYWM0NGEzOWRiNzY1ZTA4NDkwZTczZGQ1NWIyMDg3OGMzNmQyYWIxZDBlMzI0ZGJiOTAzMGY2YTQ3MDQ0Mg
117452   ,X8CH 154.5 11/12                                           , Snappiest rocker on offer.<br /><br />Focus the aggressive power of Camber beneath the feet and you get the X8 with Camber Humps                                                                                                                                                         ,11.3   ,10100|Burton|snow                      ,https://ec2-3-17-109-117.us-east-2.compute.amazonaws.com:9002/medias/?context=bWFzdGVyfGltYWdlc3wxNjA1N3xpbWFnZS9qcGVnfGFXMWhaMlZ6TDJneU1DOW9OVE12T0RjNU5qYzNNemczTlRjME1pNXFjR2N8MGVlYWFmOGQ5NDNmNzQwNmQwMDM5MjI1MDRjMjlkM2Q4YjQ2ODFhMDRkNmQyYTQzMjAzMDM4MDU3MmQ1NTI0MQ
