QUESTION,ANSWER
What sizes do you offer for your clothing items?,We offer a wide range of sizes from XS to XXL. Specific size availability may vary by product.
How can I find my correct size?,You can refer to our size chart available on each product page to find your perfect fit.
Do you offer international shipping?,"Yes, we ship to many countries worldwide. Please check our shipping policy for more details."
What are your shipping rates?,Shipping rates vary based on your location and the shipping method selected. You can view the rates at checkout.
How long does it take for my order to arrive?,"Delivery times vary by location and shipping method. Typically, orders arrive within 5-10 business days."
Can I track my order?,"Yes, once your order is shipped, you will receive a tracking number via email."
What is your return policy?,We accept returns within 30 days of purchase. Items must be unworn and in original condition.
How do I initiate a return?,"To initiate a return, please visit our returns page and follow the instructions provided."
Do you offer exchanges?,"Yes, we offer exchanges for different sizes or colors. Please contact our customer service for assistance."
What payment methods do you accept?,"We accept major credit cards, PayPal, and other secure payment methods."
Is it safe to use my credit card on your website?,"Yes, we use secure encryption technology to protect your payment information."
Can I cancel or modify my order after placing it?,Orders can be modified or canceled within 24 hours of placement. Please contact customer service promptly.
Do you offer gift cards?,"Yes, we offer digital gift cards that can be purchased and redeemed online."
How can I use a discount code?,You can enter your discount code at checkout in the designated field.
Are there any ongoing promotions or sales?,"Yes, we frequently have promotions and sales. Sign up for our newsletter to stay updated."
How do I care for my clothing items?,Care instructions are provided on the product label and on the product page.
Do you offer eco-friendly or sustainable products?,"Yes, we have a selection of eco-friendly and sustainable products. Look for the eco-friendly badge on product pages."
Can I find out if an item will be restocked?,You can sign up for restock notifications on the product page to be alerted when an item is back in stock.
How do I contact customer service?,"You can contact our customer service via email, phone, or live chat on our website."
Do you have a physical store location?,"Yes, we have several physical store locations. Please check our store locator for details."
Can I purchase items online and pick them up in-store?,"Yes, we offer a buy online, pick up in-store option at select locations."
What should I do if I receive a damaged or incorrect item?,Please contact customer service immediately for assistance with damaged or incorrect items.
How do I create an account on your website?,You can create an account by clicking on the 'Sign Up' button at the top of our homepage.
What are the benefits of creating an account?,"Creating an account allows you to track orders, save shipping information, and receive exclusive offers."
How do I subscribe to your newsletter?,You can subscribe to our newsletter by entering your email address in the subscription box at the bottom of our homepage.
Do you offer personalized styling advice?,"Yes, our style experts are available to provide personalized styling advice. Contact us for more details."
Can I see customer reviews for your products?,"Yes, customer reviews are available on each product page."
How do I leave a review for a product?,You can leave a review by going to the product page and clicking on the 'Write a Review' button.
Are your products ethically sourced?,"Yes, we are committed to ethical sourcing and ensure our products are made under fair labor conditions."
Do you offer wholesale or bulk purchasing options?,"Yes, we offer wholesale and bulk purchasing options. Please contact our sales team for more information."
Delivery Options,"Based on your delivery address, these options may not all be available:

Home Delivery - Free UK standard delivery on all orders over L50 within 4 working days (*exceptions may apply)
Standard delivery - 1 to 2 business days
Other delivery method – 3 to 5 business days
International delivery – 7 to 10 business days (not all countries are available)"
Delivery times & charges,"We deliver the majority of our orders within 4 working days* for L3.99 or FREE on orders over L50 (*exceptions apply, see table below).

Deliveries to UK addresses are made Monday to Friday between 9am to 6pm, excluding Bank Holidays.
Deliveries to the Scottish Highlands and Islands, offshore locations and Northern Ireland may take a little longer.
For delivery to ROI addresses please visit our Irish website at hybris.com
Multiple items may be delivered in more than one parcel and at different times."
Order tracking information,We will send you email updates through every stage of your order. In each email your current order's status will be shown. Each order status is explained in the table below. We deliver most parcels via our courier. You can track these parcels by clicking on the parcel reference link on your email. Once you have clicked on the link you will be directed to the courier website.
