

################################# Grocery/Beverages/SoftDrinks  Begins here ###################################################

CATEGORY_ID,CATEGORY_NAME,PARENT_CATEGORY_ID
400000,Grocery,
600100,Beverages,400000
600101,SoftDrinks,600100
600102,Water,600100
600103,Coffee,600100

PRODUCT_ID,PRODUCT_NAME,BRAND,SUMMARY,PRICE,CATEGORY_IDS,IMAGE_URL
610001,Cola Classic 12-Pack,RefreshCo,"Multipack cola beverage with a bold caramel flavor and smooth finish.",8.99,600101,https://images.unsplash.com/photo-1629203851122-3726ecdf080e?auto=format&fit=crop&w=800&q=80
610002,Zero Sugar Cola,RefreshCo,"Diet cola with zero sugar and the classic cola taste.",1.99,600101,https://images.unsplash.com/photo-1581636625402-29b2a704ef13?auto=format&fit=crop&w=800&q=80
610003,Lemon Lime Soda,SunnyFizz,"Crisp lemon-lime soft drink with refreshing citrus notes.",1.79,600101,https://images.unsplash.com/photo-1554866585-cd94860890b7?auto=format&fit=crop&w=800&q=80
610004,Orange Spark Soda,CitrusRush,"Bright and bubbly orange-flavored soda made for everyday refreshment.",1.89,600101,https://images.unsplash.com/photo-1624517452488-04869289c4ca?auto=format&fit=crop&w=800&q=80
610005,Ginger Ale Premium,GingerGold,"Smooth ginger ale with balanced sweetness and subtle spice.",2.19,600101,https://images.unsplash.com/photo-1513558161293-cdaf765ed2fd?auto=format&fit=crop&w=800&q=80
610006,Root Beer Original,HeritageBrew,"Rich root beer featuring creamy vanilla and herbal flavors.",2.29,600101,https://images.unsplash.com/photo-1551024709-8f23befc6cf7?auto=format&fit=crop&w=800&q=80
610007,Sparkling Berry Soda,NaturePop,"Soda alternative with berry flavors and light carbonation.",2.49,600101,https://images.unsplash.com/photo-1544145945-f90425340c7e?auto=format&fit=crop&w=800&q=80
610008,MultiServe Cola 2L,RefreshCo,"Large family-size cola bottle ideal for gatherings and parties.",2.99,600101,https://images.unsplash.com/photo-1622483767028-3f66f32aef97?auto=format&fit=crop&w=800&q=80
610009,Mandarin Orange Soda,CitrusRush,"Sweet mandarin orange soft drink with lively carbonation.",1.99,600101,https://images.unsplash.com/photo-1561758033-7e924f619b47?auto=format&fit=crop&w=800&q=80
610010,Lemon Ginger Sparkler,NaturePop,"Soda alternative combining lemon brightness with ginger zest.",2.69,600101,https://images.unsplash.com/photo-1499638673689-79a0b5115d87?auto=format&fit=crop&w=800&q=80

################################# Grocery/Beverages/SoftDrinks ends here ###################################################

################################# Grocery/Beverages/Water Begins here ###################################################


