SOURCE_PRODUCT_ID,CROSS_SELL_PRODUCT_ID,RELATIONSHIP_TYPE,PRIORITY
97602,94474,cross-sell,1
97602,103335,cross-sell,2
97602,103410,cross-sell,3
97602,100191,related,4
94474,97602,cross-sell,1
94474,103335,related,2
94474,103410,related,3
103335,97602,cross-sell,1
103335,94474,cross-sell,2
103335,103410,related,3
103335,100191,related,4
103410,97602,related,1
103410,103335,cross-sell,2
103410,100191,cross-sell,3
103410,102284,related,4
100191,103410,cross-sell,1
100191,97602,related,2
100191,103335,related,3
102284,103410,related,1
102284,100191,cross-sell,2
102284,97602,upsell,3
117452,117896,cross-sell,1
117452,118313,cross-sell,2
117452,122059,related,3
117896,117452,cross-sell,1
117896,118313,related,2
117896,122059,cross-sell,3
118313,117452,related,1
118313,117896,cross-sell,2
118313,122059,related,3
122059,117452,cross-sell,1
122059,117896,related,2
122059,118313,cross-sell,3
300614711,300026673,cross-sell,1
300614711,300036392,related,2
300026673,300614711,cross-sell,1
300026673,300036392,related,2
300036392,300026673,related,1
300036392,300614711,related,2
300015407,300024964,cross-sell,1
300015407,300040462,cross-sell,2
300015407,300044617,related,3
300015407,300045375,related,4
300024964,300015407,cross-sell,1
300024964,300044617,cross-sell,2
300024964,300040462,related,3
300024964,300046587,related,4
300040462,300015407,cross-sell,1
300040462,300047195,cross-sell,2
300040462,300047196,related,3
300040462,300044617,related,4
300044617,300044623,cross-sell,1
300044617,300044624,cross-sell,2
300044617,300015407,related,3
300044617,300046587,related,4
300044623,300044617,cross-sell,1
300044623,300044624,related,2
300044623,300046592,cross-sell,3
300044624,300044617,cross-sell,1
300044624,300044623,related,2
300044624,300015407,cross-sell,3
300045375,300046587,cross-sell,1
300045375,300046592,cross-sell,2
300045375,300015407,related,3
300046587,300045375,cross-sell,1
300046587,300046592,cross-sell,2
300046587,300044617,related,3
300046592,300046587,cross-sell,1
300046592,300045375,related,2
300046592,300044623,cross-sell,3
300047195,300047196,cross-sell,1
300047195,300047199,cross-sell,2
300047195,300040462,related,3
300047196,300047195,cross-sell,1
300047196,300047199,cross-sell,2
300047196,300040462,related,3
300047199,300047195,cross-sell,1
300047199,300047196,cross-sell,2
300047199,300044617,related,3
300026673,300026674,cross-sell,1
300026673,300026675,cross-sell,2
300026673,300026676,related,3
300026673,300026679,related,4
300026674,300026673,cross-sell,1
300026674,300026675,cross-sell,2
300026674,300026678,related,3
300026675,300026673,cross-sell,1
300026675,300026674,related,2
300026675,300026681,cross-sell,3
300026676,300026677,cross-sell,1
300026676,300026678,cross-sell,2
300026676,300026684,related,3
300026677,300026676,cross-sell,1
300026677,300026678,cross-sell,2
300026677,300026685,related,3
300026678,300026677,cross-sell,1
300026678,300026676,related,2
300026678,300026686,cross-sell,3
300026679,300026680,cross-sell,1
300026679,300026681,cross-sell,2
300026679,300026682,related,3
300026679,300026673,related,4
300026680,300026679,cross-sell,1
300026680,300026681,cross-sell,2
300026680,300026682,related,3
300026681,300026679,cross-sell,1
300026681,300026680,related,2
300026681,300026682,cross-sell,3
300026682,300026681,cross-sell,1
300026682,300026680,related,2
300026682,300026679,cross-sell,3
300026684,300026685,cross-sell,1
300026684,300026686,cross-sell,2
300026684,300026676,related,3
300026685,300026684,cross-sell,1
300026685,300026686,cross-sell,2
300026685,300026677,related,3
300026686,300026685,cross-sell,1
300026686,300026684,related,2
300026686,300026678,cross-sell,3
121868,122447,cross-sell,1
121868,83174,cross-sell,2
121868,83223,related,3
121868,84574,related,4
122447,121868,cross-sell,1
122447,83174,cross-sell,2
122447,84574,related,3
83174,121868,cross-sell,1
83174,122447,cross-sell,2
83174,83223,related,3
83174,84574,related,4
83223,121868,related,1
83223,83174,cross-sell,2
83223,84574,cross-sell,3
83223,122447,related,4
84574,122447,related,1
84574,83174,cross-sell,2
84574,83223,cross-sell,3
84574,121868,related,4
