PRODUCT_ID,PRODUCT_NAME,SUMMARY,PRICE,CATEGORY_IDS,IMAGE_URL
94474    ,Trench Coat												 ,A timeless and elegant trench coat																																																														,650    ,HypPerCategory|260400					,https://localhost:9002/medias/?context=bWFzdGVyfGltYWdlc3wxOTg2MHxpbWFnZS9qcGVnfGFXMWhaMlZ6TDJobE5DOW9OMk12T0RjNU5qWTROalUwT1RBeU1pNXFjR2N8ZTJlOWFjZjdlOWYxZGQ4MmMwMjRiNDY4ODQzYzczN2IzNjUxMzcyM2FkN2JkZjA2MDVlZTJkZDMwN2ExY2ZmZg
97602    ,Leather Jacket                                             ,A classic leather jacket that offers a stylish and edgy look                                                                                                                                                                                                                              ,999    ,HypPerCategory|250400                  ,https://localhost:9002/medias/?context=bWFzdGVyfGltYWdlc3wyNjUxNXxpbWFnZS9qcGVnfGFXMWhaMlZ6TDJoaVpTOW9PR1F2T0RjNU5qWTRPVGd5TlRneU1pNXFjR2N8ZDI1NDI0MTRiZmYxMjc2OTQ3OWM3MjMxMDVjNjQ4N2I5YTgyZDA2Yjk2MTA3Y2U3N2NjNzQwMzcwMzQ0Mzk5Yg
7001-1   ,Black Newyork Cap                                          ,Minimalist and bold                                                                                                                                                                                                                                                                       ,50     ,HypPerCategory                         ,https://localhost:9002/medias/?context=bWFzdGVyfGltYWdlc3wxMTk2NXxpbWFnZS9qcGVnfGFXMWhaMlZ6TDJoaE9TOW9aakF2T0RjNU5qWTFNakl3T0RFMU9DNXFjR2N8MGUzMTc4NTA0N2I1MTM4ZmVjNTA2OGE3ZWU4NWNmNzNhYzNhNDE1NTUzYTQ3ZjUyZTMwNTQ5YTZkNTE3MGJhYQ
100124   ,Panorama Pants Women                                       , Show everyone what a nice figure you have. Now it's even possible when you go snowboarding                                                                                                                                                                                               ,153.860,260900|streetwear|Nikita               ,https://localhost:9002/medias/?context=bWFzdGVyfGltYWdlc3w0MTIxN3xpbWFnZS9qcGVnfGFXMWhaMlZ6TDJnNVppOW9Zall2T0RjNU5qZzFORFU0TXpNeU5pNXFjR2N8NmE2Y2I2YmIyZWMzYTQ5N2QwOWJjMTk0ZTY1MDA2MDQ1NWY0Zjg5MmMzODU5MzJlZGI2OGQyYTZlYTkxZGFmNA
100191   ,Beacon Jacket                                              , Who can say no to fresh roast bacon?! Then you should also say Yes to the Beacon Jacket by Armada. This jacket doesn't only has style but also super features                                                                                                                            ,101.21 ,Armada|snow|190100                     ,https://localhost:9002/medias/?context=bWFzdGVyfGltYWdlc3w0OTc0MHxpbWFnZS9qcGVnfGFXMWhaMlZ6TDJobU5TOW9OREV2T0RjNU5qWTRNalUxTVRNeU5pNXFjR2N8ZGYzYTZkYmYxNTg4ODgyZDM3N2MyMzliM2ViMDljNGMwODU1ODBlNWU0MzcyMjU5NmI5NWM0NGFiN2UzOWEzZQ
100378   ,Machete 158 11/12                                          , Rock out with your pop out! The award-winning Machete by Ride comes with Pop-Rods® 1.0.                                                                                                                                                                                                  ,275.36 ,10100|Ride|snow                        ,https://localhost:9002/medias/?context=bWFzdGVyfGltYWdlc3w1NzE3NnxpbWFnZS9qcGVnfGFXMWhaMlZ6TDJoaVlpOW9aREF2T0RjNU5qYzNORFl5T1RRd05pNXFjR2N8MTQ0ZThkNmM1MzhkZGM0ZTBhZDFiNjA5ZWZmODg2ODg2NGJmOTkwOThmNTI0YzNjMGE3OTZhM2RkNWZlNjdiZg
100402   ,Seizure Bag                                                , No chance that Billabong forgets about the classic among their bags. Therefore the Seizure bag is again part of the collection                                                                                                                                                           ,24.26  ,Billabong|streetwear|160700            ,https://localhost:9002/medias/?context=bWFzdGVyfGltYWdlc3w0NTU3MnxpbWFnZS9qcGVnfGFXMWhaMlZ6TDJnd1lpOW9ZMlV2T0RjNU5qa3lOVEU1T0RNMk5pNXFjR2N8ODZmYmM1NWY5NGIxMWU3YmFkNzBmNWJmMmRiMDU5ZDMxNzQxMjlmNjdkMDExYzA4MmVlYmE5NTA5N2RmNjRjYw
100744   ,Ace Straight Pant Women                                    , Chic and comfy! The Ace pant by DC comes with subtle cargo pockets and in a clean design. It is ready for anything you throw at her and the added 40g insulation will keep you warmer in colder climates.                                                                                ,89.06  ,DC|snow|200300                         ,https://localhost:9002/medias/?context=bWFzdGVyfGltYWdlc3w0NDczM3xpbWFnZS9qcGVnfGFXMWhaMlZ6TDJnM055OW9PVE12T0RjNU5qZzFNell3TURJNE5pNXFjR2N8MGIwOTg0ZjVlYTgwNTQwNjE0Y2IxMTU1NTUxZDk4ZDFjNDU1NjQ0MjExNmVjYTA5MDg1ZWRkNTY1YmY1OWVmZQ
100746   ,Anzere Pant Women                                          , Best of the best for all weather conditions. DC's Anzere pant for women is an amazing piece in a cool design and with cargo pockets.                                                                                                                                                     ,113.36 ,DC|snow|200300                         ,https://localhost:9002/medias/?context=bWFzdGVyfGltYWdlc3w0MDUxMXxpbWFnZS9qcGVnfGFXMWhaMlZ6TDJoa1lTOW9OV0l2T0RjNU5qZzFOVGc1TkRBME5pNXFjR2N8OTZjNDAyYjZlZGQzMjBiNjVhYzdiN2Q1MjNlOGQ0Njk4NzZhZGZjYTU1NDRkYzhhODg3NjZjMzc0ODlmNjI3Mw
100988   ,Cascata Beanie                                             , Reversible plus a visor! This is the Cascata Beanie by DC! 100% Acrylic                                                                                                                                                                                                                  ,28.31  ,DC|220500                              ,https://localhost:9002/medias/?context=bWFzdGVyfGltYWdlc3w1NjQ4N3xpbWFnZS9qcGVnfGFXMWhaMlZ6TDJnelppOW9NalF2T0RjNU5qYzBNemd5TnpRNE5pNXFjR2N8ZjE1Y2ZiNTRkNTZmZTExYTVkMWVjNWJlMWNlNTQyZDU4ZjNkYmRjMjVlMjM5MWFmZWRhMDQzOGE1M2Q0Nzg5MA
