PROMO_ID,PROMO_PRODUCT_ID,PROMO_PRODUCT_NAME,PROMO_TITLE,PROMO_DESCRIPTION,PROMO_DISCOUNT_PERCENT,PROMO_START_DATE,PROMO_END_DATE
P-1001,0031-1,Trench Coat,Special offer for festival,"This offer available only for limited period, please opt it.",88,2025-09-25,2025-09-30
P-1002,0032-1,Leather Jacket,Special offer for festival,"This offer available only for limited period, please opt it.",54,2025-09-25,2025-10-01
P-1003,7001-1,Black Newyork Cap,Special offer for festival,"This offer available only for limited period, please opt it.",26,2025-09-25,2025-10-04
P-1242,300046029,T-Shirt Men Playboard Raster SS red M,Special offer for festival,"This offer available only for limited period, please opt it.",45,2025-09-25,2025-09-29
P-1243,300046030,T-Shirt Men Playboard Raster SS red S,Special offer for festival,"This offer available only for limited period, please opt it.",71,2025-09-25,2025-09-28
P-1244,300046031,T-Shirt Men Playboard Raster SS red XL,Special offer for festival,"This offer available only for limited period, please opt it.",77,2025-09-25,2025-10-01
P-1245,300046032,T-Shirt Men Playboard Raster SS white L,Special offer for festival,"This offer available only for limited period, please opt it.",47,2025-09-25,2025-09-30
P-1246,300046033,T-Shirt Men Playboard Raster SS white M,Special offer for festival,"This offer available only for limited period, please opt it.",89,2025-09-25,2025-09-29
P-1270,300067375,T-Shirt Men Playboard Logo Tee black M,Special offer for festival,"This offer available only for limited period, please opt it.",69,2025-09-25,2025-10-03
P-1271,300067376,T-Shirt Men Playboard Logo Tee black S,Special offer for festival,"This offer available only for limited period, please opt it.",52,2025-09-25,2025-10-02
P-1136,300310180,Bag Dakine Sunglass Case black patches,Special offer for festival,"This offer available only for limited period, please opt it.",63,2025-09-25,2025-10-03
P-1114,300040462,Shades Women Roxy Carla roxy black grey,Special offer for festival,"This offer available only for limited period, please opt it.",31,2025-09-25,2025-10-04
P-1129,300047199,Shades Women Roxy Roma purple grey,Special offer for festival,"This offer available only for limited period, please opt it.",72,2025-09-25,2025-10-02
P-1221,300026673,Sneakers Vans Old Skool black/white 10.5,Special offer for festival,"This offer available only for limited period, please opt it.",26,2025-09-25,2025-10-03
P-1222,300026674,Sneakers Vans Old Skool black/white 11.0,Special offer for festival,"This offer available only for limited period, please opt it.",86,2025-09-25,2025-10-05
P-1252,300050253,Slip On Vans Classic Slip On checkerboard/black/pewter 7.0,Special offer for festival,"This offer available only for limited period, please opt it.",40,2025-09-25,2025-10-03
